power,count
"262 hp @ 6,250 RPM",114
"456 hp @ 5,500 RPM",113
"99 hp @ 4,800 RPM",113
"300 hp @ 5,500 RPM",113
"215 hp @ 5,600 RPM",113
"305 hp @ 5,650 RPM",112
"121 hp @ 6,000 RPM",112
"567 hp @ 6,000 RPM",111
"208 hp @ 5,000 RPM",110
"171 hp @ 6,000 RPM",110
"156 hp @ 6,200 RPM",110
"349 hp @ 6,400 RPM",109
"221 hp @ 6,250 RPM",109
"255 hp @ 6,950 RPM",109
"375 hp @ 5,200 RPM",108
"366 hp @ 5,500 RPM",107
"264 hp @ 6,000 RPM",107
"265 hp @ 6,950 RPM",107
"349 hp @ 5,400 RPM",106
"335 hp @ 5,700 RPM",106
"210 hp @ 4,500 RPM",106
"110 hp @ 6,000 RPM",105
"270 hp @ 6,000 RPM",104
"429 hp @ 5,250 RPM",102
"266 hp @ 5,600 RPM",102
"402 hp @ 5,000 RPM",102
"220 hp @ 4,700 RPM",102
"285 hp @ 5,200 RPM",101
"707 hp @ 6,000 RPM",101
"220 hp @ 5,800 RPM",100
"180 hp @ 5,200 RPM",99
"345 hp @ 5,200 RPM",99
"383 hp @ 5,600 RPM",98
"310 hp @ 6,000 RPM",97
"315 hp @ 5,800 RPM",97
"181 hp @ 7,000 RPM",95
"260 hp @ 6,600 RPM",95
"453 hp @ 5,500 RPM",94
"470 hp @ 6,000 RPM",93
"225 hp @ 5,600 RPM",91
"550 hp @ 6,000 RPM",91
"410 hp @ 5,600 RPM",90
"292 hp @ 5,700 RPM",90
"154 hp @ 6,000 RPM",90
"190 hp @ 4,400 RPM",88
"250 hp @ 3,200 RPM",88
"420 hp @ 6,000 RPM",86
"275 hp @ 5,600 RPM",86
"245 hp @ 4,000 RPM",85
"707 hp @ 6,200 RPM",85
"300 hp @ 5,750 RPM",85
"255 hp @ 6,500 RPM",85
"304 hp @ 6,400 RPM",85
"430 hp @ 5,900 RPM",85
"220 hp @ 5,600 RPM",85
"165 hp @ 6,000 RPM",85
"175 hp @ 5,000 RPM",84
"250 hp @ 6,000 RPM",84
"210 hp @ 5,500 RPM",83
"350 hp @ 5,600 RPM",83
"160 hp @ 6,250 RPM",82
"280 hp @ 6,300 RPM",82
"303 hp @ 6,800 RPM",81
"255 hp @ 4,000 RPM",81
"215 hp @ 5,000 RPM",81
"115 hp @ 6,100 RPM",81
"161 hp @ 6,000 RPM",81
"239 hp @ 4,900 RPM",81
"225 hp @ 5,900 RPM",80
"329 hp @ 5,500 RPM",79
"202 hp @ 6,000 RPM",79
"260 hp @ 4,500 RPM",79
"230 hp @ 5,800 RPM",79
"224 hp @ 4,800 RPM",79
"603 hp @ 5,750 RPM",79
"330 hp @ 2,600 RPM",78
"203 hp @ 5,750 RPM",77
"174 hp @ 3,600 RPM",77
"182 hp @ 6,200 RPM",77
"254 hp @ 3,750 RPM",77
"552 hp @ 6,000 RPM",76
"192 hp @ 6,000 RPM",76
"318 hp @ 6,500 RPM",75
"239 hp @ 5,200 RPM",74
"500 hp @ 6,000 RPM",74
"469 hp @ 5,500 RPM",73
"503 hp @ 5,500 RPM",73
"128 hp @ 5,500 RPM",73
"272 hp @ 5,000 RPM",73
"300 hp @ 2,800 RPM",73
"215 hp @ 5,700 RPM",72
"335 hp @ 6,000 RPM",72
"148 hp @ 5,600 RPM",72
"600 hp @ 6,000 RPM",72
"152 hp @ 5,200 RPM",72
"136 hp @ 6,000 RPM",71
"245 hp @ 5,800 RPM",71
"335 hp @ 5,200 RPM",71
"240 hp @ 4,800 RPM",71
"157 hp @ 6,000 RPM",69
"416 hp @ 5,500 RPM",69
"240 hp @ 6,400 RPM",69
"118 hp @ 6,000 RPM",69
"145 hp @ 5,600 RPM",69
"280 hp @ 4,920 RPM",66
"255 hp @ 5,750 RPM",66
"127 hp @ 6,300 RPM",65
"150 hp @ 5,100 RPM",65
"306 hp @ 6,800 RPM",65
"235 hp @ 4,500 RPM",65
"230 hp @ 4,600 RPM",64
"162 hp @ 5,800 RPM",63
"288 hp @ 1,900 RPM",63
"292 hp @ 5,750 RPM",63
"340 hp @ 5,300 RPM",63
"321 hp @ 6,800 RPM",62
"178 hp @ 5,500 RPM",62
"617 hp @ 6,000 RPM",62
"140 hp @ 4,200 RPM",61
"252 hp @ 6,200 RPM",61
"207 hp @ 5,800 RPM",60
"109 hp @ 5,800 RPM",60
"184 hp @ 6,250 RPM",59
"137 hp @ 3,750 RPM",59
"360 hp @ 6,000 RPM",59
"156 hp @ 5,900 RPM",58
"184 hp @ 6,000 RPM",58
"140 hp @ 5,600 RPM",58
"172 hp @ 5,500 RPM",58
"153 hp @ 6,500 RPM",58
"318 hp @ 6,800 RPM",57
"295 hp @ 6,000 RPM",57
"550 hp @ 5,750 RPM",57
"503 hp @ 6,000 RPM",57
"360 hp @ 6,400 RPM",57
"150 hp @ 6,500 RPM",56
"201 hp @ 5,500 RPM",56
"440 hp @ 5,650 RPM",56
"340 hp @ 5,000 RPM",55
"220 hp @ 5,300 RPM",55
"443 hp @ 6,500 RPM",55
"153 hp @ 5,800 RPM",55
"270 hp @ 6,500 RPM",55
"305 hp @ 4,900 RPM",55
"244 hp @ 5,000 RPM",55
"660 hp @ 8,000 RPM",54
"404 hp @ 5,700 RPM",54
"310 hp @ 4,250 RPM",54
"272 hp @ 4,780 RPM",54
"134 hp @ 4,500 RPM",54
"563 hp @ 5,500 RPM",54
"412 hp @ 6,500 RPM",52
"400 hp @ 6,500 RPM",52
"434 hp @ 5,700 RPM",52
"172 hp @ 5,800 RPM",52
"305 hp @ 6,200 RPM",52
"456 hp @ 5,250 RPM",51
"197 hp @ 6,000 RPM",51
"297 hp @ 6,800 RPM",51
"128 hp @ 6,000 RPM",51
"250 hp @ 5,800 RPM",50
"250 hp @ 2,600 RPM",50
"263 hp @ 5,400 RPM",50
"225 hp @ 3,750 RPM",50
"398 hp @ 5,500 RPM",49
"332 hp @ 7,000 RPM",49
"348 hp @ 5,400 RPM",49
"255 hp @ 6,600 RPM",49
"239 hp @ 4,750 RPM",48
"255 hp @ 6,000 RPM",48
"760 hp @ 7,300 RPM",48
"385 hp @ 6,500 RPM",48
"292 hp @ 5,500 RPM",48
"119 hp @ 6,000 RPM",48
"240 hp @ 5,400 RPM",47
"200 hp @ 5,500 RPM",47
"265 hp @ 5,800 RPM",47
"320 hp @ 2,800 RPM",47
"270 hp @ 5,200 RPM",47
"288 hp @ 4,000 RPM",47
"285 hp @ 6,000 RPM",47
"215 hp @ 6,250 RPM",46
"325 hp @ 5,200 RPM",46
