torque,count
"137 lb-ft @ 4,600 RPM",117
"260 lb-ft @ 1,350 RPM",117
"170 lb-ft @ 3,750 RPM",117
"295 lb-ft @ 4,400 RPM",117
"327 lb-ft @ 3,400 RPM",117
"182 lb-ft @ 4,200 RPM",116
"128 lb-ft @ 4,200 RPM",116
"475 lb-ft @ 4,200 RPM",116
"216 lb-ft @ 4,000 RPM",115
"480 lb-ft @ 1,800 RPM",115
"315 lb-ft @ 4,000 RPM",114
"334 lb-ft @ 3,950 RPM",113
"400 lb-ft @ 4,400 RPM",112
"650 lb-ft @ 4,800 RPM",112
"136 lb-ft @ 4,500 RPM",111
"270 lb-ft @ 2,500 RPM",111
"150 lb-ft @ 4,900 RPM",111
"171 lb-ft @ 4,500 RPM",110
"214 lb-ft @ 5,600 RPM",110
"380 lb-ft @ 4,300 RPM",110
"340 lb-ft @ 4,200 RPM",110
"144 lb-ft @ 4,300 RPM",110
"223 lb-ft @ 5,100 RPM",109
"205 lb-ft @ 4,800 RPM",109
"627 lb-ft @ 2,500 RPM",109
"226 lb-ft @ 4,500 RPM",109
"369 lb-ft @ 3,100 RPM",109
"166 lb-ft @ 4,400 RPM",109
"269 lb-ft @ 3,000 RPM",108
"259 lb-ft @ 4,200 RPM",107
"387 lb-ft @ 3,400 RPM",107
"222 lb-ft @ 3,600 RPM",106
"525 lb-ft @ 1,600 RPM",106
"225 lb-ft @ 2,750 RPM",106
"516 lb-ft @ 1,750 RPM",105
"260 lb-ft @ 1,700 RPM",105
"242 lb-ft @ 4,600 RPM",104
"443 lb-ft @ 1,800 RPM",103
"300 lb-ft @ 4,000 RPM",103
"288 lb-ft @ 4,000 RPM",103
"225 lb-ft @ 2,800 RPM",102
"253 lb-ft @ 5,200 RPM",101
"368 lb-ft @ 1,600 RPM",100
"380 lb-ft @ 4,000 RPM",100
"320 lb-ft @ 4,000 RPM",100
"210 lb-ft @ 4,000 RPM",100
267 lb-ft @ 267 RPM,100
"325 lb-ft @ 4,000 RPM",98
"266 lb-ft @ 3,600 RPM",97
"250 lb-ft @ 2,800 RPM",96
"403 lb-ft @ 3,600 RPM",95
"255 lb-ft @ 5,200 RPM",95
"240 lb-ft @ 3,500 RPM",95
"221 lb-ft @ 3,200 RPM",95
"487 lb-ft @ 1,800 RPM",94
"479 lb-ft @ 1,800 RPM",94
"135 lb-ft @ 4,500 RPM",94
